"","Subject","Gender","Age","Handedness","First_Language","Matching","Identity","Phase","Shape","Label","WeShape","SelfShape","TheyShape","AloneShape","ShapeLoc","Response","RT_sec","ACC","RT_ms","ScreenResolution","RefreshRate","Luminance","TextColor","BackgroundColor","VisualAngle","Contrast"
"88",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",1.034,1,1034,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"89",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.767,1,767,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"90",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.8,1,800,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"91",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.75,1,750,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"92",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.567,1,567,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"93",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.733,1,733,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"94",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.8,1,800,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"95",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.634,1,634,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"96",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.717,1,717,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"97",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",1.083,1,1083,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"98",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.784,1,784,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"99",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.783,1,783,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"100",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.717,1,717,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"101",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.784,1,784,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"102",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.684,1,684,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"103",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.7,1,700,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"104",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.633,1,633,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"105",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Top","m",0.667,1,667,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"106",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.667,1,667,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"107",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.667,1,667,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"108",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.867,1,867,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"109",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.75,1,750,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"110",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.733,1,733,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
"111",1,"Female",24,"r","h","Match","We","EXPERIMENT","We","We","Triangle","Circle","Diamond","Star","Bottom","m",0.667,1,667,"1920️*1080","60Hz",NA,"white、red、yellow","black","57cm",NA
